,Unnamed: 0,Kommune,Bundesland,Haushalte mit niedrigem Einkommen (%),GKZ,Allgemeine Deckungsmittel (Euro je Einwohner:in),ARS,Anteil ab 65-Jährige (%),Langzeitarbeitslosenquote (%),Verschuldung im Kernhaushalt (Euro je Einwohner:in),Verwaltungstyp,socioeconomic_vulnerability_index,ags,starkregentage_jetzt,starkregentage_zukunft,trockentage_jetzt,trockentage_zukunft,tropennächte_jetzt,tropennächte_zukunft,heiße_tage_jetzt,heiße_tage_zukunft,schwüle_tage_jetzt,schwüle_tage_zukunft,climate_vulnerability_index
0,0,"Ahrweiler, LK",Rheinland-Pfalz,38.7,7131000,1.597,71310000000,25.1,1.7,1.743,Landkreis,2.283946323335594,7131000,3.2,0.7,59.9,2.5,0.0,0.8,3.7,2.4,2.6,9.2,1.8799297830076558
1,1,"Aichach-Friedberg, LK",Bayern,28.1,9771000,1.798,97710000000,20.4,0.8,621.0,Landkreis,2.4423862243007903,9771000,5.6,1.2,54.2,2.3,0.0,0.9,4.5,5.2,2.3,15.0,2.7363870585715544
2,2,"Alb-Donau-Kreis, LK",Baden-Württemberg,31.8,8425000,1.946,84250000000,19.9,0.9,425.0,Landkreis,2.2739496860148014,8425000,4.8,1.2,55.0,2.6,0.0,0.6,2.2,3.1,1.1,10.8,2.257612790243534
3,3,"Altenburger Land, LK",Th�ringen,53.6,16077000,1.758,160770000000,31.700000000000003,3.6,577.0,Landkreis,3.5017991258428225,16077000,3.0,0.9,60.4,1.5,0.0,2.0,5.9,4.7,3.7,11.3,2.3534530003905614
4,4,"Altenkirchen (Westerwald), LK",Rheinland-Pfalz,41.8,7132000,1.657,71320000000,23.0,2.6,2.463,Landkreis,2.362975666947215,7132000,6.9,1.3,56.8,3.1,0.1,1.0,4.2,2.6,3.5,10.5,2.4232416354847786
5,5,"Altmarkkreis Salzwedel, LK",Sachsen-Anhalt,51.8,15081000,1.472,150810000000,25.9,3.2,620.0,Landkreis,3.356938112381595,15081000,1.8,0.7,62.8,1.6,0.0,1.4,6.4,3.2,3.4,10.3,1.9407213410101674
6,6,"Alt�tting, LK",Bayern,36.7,9171000,2.28,91710000000,22.2,1.3,1.189,Landkreis,1.973128666293226,9171000,7.1,1.4,52.6,2.0,0.0,1.2,4.7,6.7,3.9,16.8,3.0902951885401837
7,7,"Alzey-Worms, LK",Rheinland-Pfalz,35.7,7331000,1.603,73310000000,21.3,1.8,2.321,Landkreis,2.127816078960479,7331000,2.1,0.8,63.7,2.5,0.2,3.0,8.7,6.3,5.5,12.3,2.987580264489604
8,8,"Amberg-Sulzbach, LK",Bayern,40.8,9371000,1.791,93710000000,22.0,0.9,1.581,Landkreis,2.099420462595968,9371000,4.8,1.1,58.4,2.1,0.0,0.8,4.3,4.1,1.4,11.1,2.2671022681936344
9,9,"Ammerland, LK",Niedersachsen,44.3,3451000,1.691,34510000000,23.8,1.5,434.0,Landkreis,2.740179465041161,3451000,2.8,0.7,56.5,2.4,0.1,0.7,2.8,1.5,5.1,9.4,1.74496890210357
